tvec_x_error;tvec_y_error;tvec_z_error;rvec_x_error;rvec_y_error;rvec_z_error
-68.4198;-24.0781;154.425;0.392647;-0.310942;-3.1091
-70.5181;-24.4854;154.709;0.417607;-0.248198;-3.11069
-71.6616;-24.7032;152.94;-0.333045;-0.529515;3.07158
-73.697;-25.256;154.017;0.452168;-0.541433;-3.06545
-75.051;-25.8083;153.193;0.414719;-0.329545;-3.09525
-76.5581;-26.5433;153.385;0.392433;-0.26236;-3.11726
-76.9955;-27.0958;151.825;0.50667;0.0284741;-3.12204
-78.2275;-27.7967;152.687;0.48781;-0.300588;-3.09872
-78.7123;-28.4427;153.317;0.385752;-0.395044;-3.1171
-78.0539;-28.5626;151.527;0.34137;-0.0135771;-3.14917
-77.9888;-28.9874;151.312;0.484735;0.00967559;-3.10804
-77.9984;-29.52;153.242;0.318699;-0.0667589;-3.15641
-77.1261;-29.6365;153.125;0.50822;-0.127477;-3.12762
-76.6801;-30.003;154.018;0.48516;-0.443346;-3.08536
-76.2919;-29.945;154.544;0.316258;-0.508087;-3.10209
-75.4317;-30.1329;154.648;0.504472;-0.283635;-3.10461
-74.7186;-30.1478;154.797;0.603909;-0.584985;-3.03359
-74.9212;-30.4411;156.109;0.509379;-0.288159;-3.09964
-74.4614;-30.4438;155.859;0.549033;-0.284451;-3.08939
-73.8242;-30.379;155.476;0.513457;-0.0468677;-3.11646
-73.5018;-30.5536;156.522;0.375647;-0.590863;-3.09333
-73.0831;-30.6476;155.898;0.339049;-0.546285;-3.11053
-73.147;-30.8555;156.515;0.431437;-0.299957;-3.126
-72.1112;-31.0296;155.799;0.548057;-0.50839;-3.08012
-72.4078;-31.241;156.259;0.499292;-0.340806;-3.10185
-71.826;-31.3525;155.025;0.619558;-0.297506;-3.07991
-72.1118;-31.9058;156.33;0.442544;-0.433492;-3.10838
-72.0476;-31.7759;155.879;0.509885;-0.13736;-3.10247
-71.7293;-31.3356;155.123;0.588954;-0.399364;-3.07663
-71.8247;-30.7696;155.324;0.528397;-0.300617;-3.09988
-71.1471;-29.4898;154.034;0.6451;-0.528705;-3.05155
-71.3411;-28.1814;154.898;0.527407;-0.441956;-3.08494
-71.2482;-26.3391;155.822;0.441397;-0.494385;-3.0965
-70.4585;-24.1898;154.495;0.499134;-0.259823;-3.11102
-70.0658;-21.7378;154.884;0.433793;-0.437966;-3.10817
-69.8258;-19.2602;155.159;0.536914;-0.437491;-3.08223
-69.2099;-16.8533;154.362;0.480193;-0.376123;-3.10431
-68.5538;-14.5884;153.265;0.620649;-0.173414;-3.09329
-68.8604;-12.5132;154.395;0.48585;-0.393613;-3.1029
-68.1415;-10.5061;152.669;0.535087;-0.434095;-3.09162
-67.9014;-8.39151;152.268;0.608066;-0.425208;-3.08088
-67.8816;-6.4483;152.387;0.426962;-0.699003;-3.0625
-67.3145;-4.38694;150.579;0.46097;-0.29152;-3.12587
-67.9495;-2.5195;151.433;0.471067;-0.541546;-3.07781
-68.0461;-0.72735;151.427;0.317045;-0.484327;-3.10513
-68.0141;0.453017;150.312;0.358651;-0.776059;-3.05056
-67.8718;1.21327;149.121;0.522395;-0.425755;-3.09193
-68.0121;2.14786;148.447;0.415618;-0.607181;-3.07151
-67.4391;2.8499;146.617;0.465739;-0.559291;-3.0773
-67.5922;3.55534;146.633;0.389183;-0.426153;-3.10979
-67.5346;4.7837;146.294;0.316285;-0.445534;-3.10752
-67.1328;5.94471;145.47;0.463762;-0.523084;-3.08226
-67.7248;7.0601;146.346;0.305806;-0.585514;-3.09047
-67.4485;8.0675;145.19;0.347263;-0.461781;-3.10752
-67.5082;8.60787;143.916;0.38033;-0.476487;-3.09888
-68.8708;9.42711;146.597;0.226907;-0.710594;-3.08976
-68.5265;9.81578;144.66;0.340175;-0.577543;-3.09688
-68.6651;10.179;144.541;0.429187;-0.790903;-3.03419
-68.2846;10.4187;142.619;0.54531;-0.414052;-3.07957
-68.6851;10.6669;144.449;0.471703;-0.642553;-3.06503
-68.5935;10.991;144.328;0.473507;-0.521196;-3.08833
-68.5114;10.9916;145.053;0.495734;-0.611028;-3.06123
-68.8102;10.85;146.25;0.441653;-0.724451;-3.04991
-68.2991;10.6366;147.052;0.414859;-0.571152;-3.08909
-67.2753;9.99905;145.447;0.414191;-0.280497;-3.11771
-66.6905;9.1864;146.122;0.455616;-0.330604;-3.1183
-64.919;7.98603;143.055;0.670501;-0.260246;-3.08447
-66.2974;7.4761;148.135;0.399747;-0.552837;-3.09076
-65.1575;6.18075;147.404;0.474793;-0.518989;-3.08638
-64.2435;5.03052;147.387;0.395975;-0.25244;-3.12029
-63.3824;3.95062;148.602;0.385502;-0.585042;-3.08598
-61.7438;2.66037;147.872;0.476455;-0.336846;-3.10237
-59.7953;1.44795;146.601;0.345487;-0.250411;-3.12928
-58.4426;0.363264;147.598;0.504727;-0.38358;-3.09294
-56.3744;-0.439248;147.919;0.54861;-0.674782;-3.04182
-53.7424;-1.43591;145.874;0.551928;-0.34068;-3.0961
-52.0543;-1.63508;147.55;0.518987;-0.447759;-3.08457
-49.2125;-2.24657;145.407;0.547585;-0.339802;-3.08942
-47.0819;-2.49849;146.141;0.462417;-0.430085;-3.09948
-44.14;-2.71751;144.486;0.565955;-0.459431;-3.07976
-41.3842;-2.70097;143.678;0.514901;-0.34678;-3.09191
-38.4053;-2.85307;142.453;0.551066;-0.267049;-3.0945
-36.4897;-3.07807;143.303;0.557417;-0.515712;-3.0759
-34.5507;-3.10298;143.055;0.532121;-0.453484;-3.074
-32.2901;-3.07924;142.749;0.473468;-0.385915;-3.0934
-30.454;-2.85318;143.668;0.433588;-0.482149;-3.09617
-28.1688;-2.59878;141.692;0.512968;-0.459253;-3.08482
-26.2708;-2.1544;143.903;0.353641;-0.481763;-3.10783
-24.2052;-1.76547;141.899;0.512199;-0.525866;-3.0842
-22.3357;-1.54127;140.979;0.493866;-0.548325;-3.08617
-20.7178;-1.41042;140.961;0.500009;-0.406077;-3.09309
-19.1213;-1.2493;141.938;0.476095;-0.46143;-3.09475
-17.4447;-1.14671;142.809;0.347879;-0.343768;-3.11611
-15.788;-0.950608;140.434;0.444171;-0.290905;-3.10771
-14.1092;-0.970932;139.908;0.483211;-0.284842;-3.09978
-12.8282;-0.875405;140.057;0.360218;-0.25763;-3.10526
-11.1553;-0.746112;141.035;0.332593;-0.406603;-3.10952
-9.8943;-0.690887;141.404;0.297263;-0.481955;-3.11166
-8.73682;-0.906586;140.167;0.344167;-0.416692;-3.10353
-7.43202;-0.925327;142.927;0.200021;-0.482381;-3.11832
-6.53583;-0.948704;144.944;0.00764031;-0.356182;-3.12933
-5.33849;-1.22248;141.32;0.257726;-0.381063;-3.12274
-4.20268;-1.09822;140.669;0.289542;-0.30132;-3.12416
-3.00921;-0.582825;142.637;0.168453;-0.271406;-3.13531
-1.98242;-0.249382;140.002;0.355539;-0.382293;-3.11975
-0.900203;0.5254;140.835;0.267511;-0.243322;-3.12002
-0.296721;1.22041;141.427;0.290373;-0.451686;-3.11435
0.152576;1.74688;141.066;0.322225;-0.425179;-3.10956
0.444341;2.50668;143.052;0.21051;-0.375261;-3.12746
0.476848;2.95868;141.501;0.310326;-0.336724;-3.11255
0.5201;3.51913;142.245;0.289876;-0.370064;-3.11939
0.422179;3.93453;141.099;0.414117;-0.419257;-3.10255
0.435549;4.2831;141.477;0.361081;-0.270292;-3.11582
0.367365;4.53609;140.254;0.345909;-0.241073;-3.11748
0.286224;5.05921;142.631;0.331898;-0.502204;-3.11332
0.327528;5.44083;143.54;0.255698;-0.466673;-3.11707
0.19086;5.1327;140.844;0.373143;-0.420036;-3.10814
0.282922;5.03987;141.099;0.320318;-0.275968;-3.10726
0.491641;4.66816;141.615;0.308564;-0.427774;-3.11768
0.74324;4.34886;142.512;0.2579;-0.404109;-3.12055
1.17101;3.90754;142.609;0.237658;-0.498627;-3.12255
1.43806;3.50872;140.831;0.301551;-0.349304;-3.11654
1.9645;3.21315;141.371;0.197487;-0.219184;-3.12753
2.48365;2.91108;140.16;0.298279;-0.340865;-3.11687
3.07389;2.86146;140.525;0.27203;-0.465034;-3.11721
3.47807;2.67308;139.824;0.265662;-0.512703;-3.11689
3.99591;2.74715;140.532;0.217678;-0.441113;-3.12532
4.75632;2.79399;140.41;0.202634;-0.411367;-3.13083
5.14719;2.87066;139.414;0.255374;-0.365889;-3.11595
6.00894;2.89869;139.9;0.217136;-0.374863;-3.13069
6.40177;2.56096;137.332;0.306366;-0.261618;-3.11916
7.01326;2.19015;139.179;0.231068;-0.35117;-3.12487
7.43789;1.53516;137.847;0.299319;-0.355908;-3.11999
7.57371;0.590298;136.541;0.309068;-0.259132;-3.11114
8.12465;-0.521314;138.252;0.2236;-0.176646;-3.12113
8.37406;-1.95259;138.34;0.268711;-0.299946;-3.12866
8.62904;-3.67182;139.229;0.172089;-0.291137;-3.13494
8.69885;-5.44499;138.831;0.204432;-0.257631;-3.13159
9.02404;-7.50933;140.412;0.150497;-0.35263;-3.13526
8.91758;-9.76981;138.379;0.233211;-0.365146;-3.12752
8.81759;-11.8922;138.202;0.164312;-0.274634;-3.13608
8.70143;-14.0708;138.798;0.190449;-0.334767;-3.13501
8.51398;-16.5193;139.514;0.171263;-0.335957;-3.14145
7.97226;-18.251;137.213;0.236213;-0.253925;-3.1266
7.92983;-20.5636;139.677;0.125443;-0.218113;-3.13888
7.74569;-22.5676;139.599;0.106071;-0.252819;-3.14092
7.33008;-24.4228;138.338;0.167916;-0.302961;-3.13441
6.97706;-26.1596;136.958;0.249186;-0.300028;-3.12603
6.61174;-27.6824;135.52;0.305634;-0.222981;-3.11344
6.68853;-29.3691;135.605;0.3191;-0.229533;-3.11397
6.47354;-30.631;135.779;0.26616;-0.111229;-3.11752
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
6.20286;-31.4756;134.141;0.351779;-0.165599;-3.11168
