1,0,0,0
2,0.026,0,0
3,0.052,0,0
4,0.078,0,0
5,0.104,0,0
6,0.13,0,0
7,0.156,0,0
8,0.182,0,0
9,0.208,0,0
10,0,0.026,0
11,0.026,0.026,0
12,0.052,0.026,0
13,0.078,0.026,0
14,0.104,0.026,0
15,0.13,0.026,0
16,0.156,0.026,0
17,0.182,0.026,0
18,0.208,0.026,0
19,0,0.052,0
20,0.026,0.052,0
21,0.052,0.052,0
22,0.078,0.052,0
23,0.104,0.052,0
24,0.13,0.052,0
25,0.156,0.052,0
26,0.182,0.052,0
27,0.208,0.052,0
28,0,0.078,0
29,0.026,0.078,0
30,0.052,0.078,0
31,0.078,0.078,0
32,0.104,0.078,0
33,0.13,0.078,0
34,0.156,0.078,0
35,0.182,0.078,0
36,0.208,0.078,0
37,0,0.104,0
38,0.026,0.104,0
39,0.052,0.104,0
40,0.078,0.104,0
41,0.104,0.104,0
42,0.13,0.104,0
43,0.156,0.104,0
44,0.182,0.104,0
45,0.208,0.104,0
46,0,0.13,0
47,0.026,0.13,0
48,0.052,0.13,0
49,0.078,0.13,0
50,0.104,0.13,0
51,0.13,0.13,0
52,0.156,0.13,0
53,0.182,0.13,0
54,0.208,0.13,0
